dwnom,beta2,beta1,beta3,beta4,beta5,south,rep,year
-.27599999,,,,,0,0,1,1956
-.27599999,,,,,0,0,1,1958
-.27599999,.043713629,,,.025094867,0,0,1,1960
.32499999,,,,,0,0,0,1962
.32499999,,,,,0,0,0,1964
.32499999,.046046019,,,.085858464,0,0,0,1966
.32499999,,,,,0,0,0,1968
.32499999,,,,,0,0,0,1970
.32499999,.047093421,,,.29990828,0,0,0,1972
.32499999,,,,,0,0,0,1974
.32499999,,,,,0,0,0,1976
.32499999,,,,,0,0,0,1978
.34799999,.02523756,.9561612,.024131175,.0073484182,0,0,0,1986
.21699999,,,,,0,0,0,1988
.34799999,,,,,0,0,0,1992
.34799999,,,,,0,0,0,1994
.34799999,.074068666,,,.33613467,0,0,0,1996
.34799999,,,,,0,0,0,1998
.34799999,,,,,0,0,0,2000
.34799999,.5286479,,,.34751582,0,0,0,2002
.34799999,,,,,0,0,0,2004
.34799999,,,,,0,0,0,2006
.34799999,.10044068,,,.12138689,0,0,0,2008
.417,,,,,0,0,0,2010
.417,,,,,0,0,0,2012
-.31,,.93592703,,.063691497,0,0,1,1872
-.31,-.064350188,.94218433,-.06062974,.040243149,0,0,1,1874
-.59799999,-.06923753,.86532766,-.059913151,.18194169,0,0,1,1876
